"Original","Masked","Field","RowIndex"
"City of London Police","fLrvQqOIz9do","Reported by","0"
"City of London Police","fLrvQqOIz9do","Falls within","0"
"On or near Finch Lane","cW1AWnntcpSD","Location","0"
"City of London Police","fLrvQqOIz9do","Reported by","1"
"City of London Police","fLrvQqOIz9do","Falls within","1"
"No location","ToR5xtQyHv2n","Location","1"
"City of London Police","fLrvQqOIz9do","Reported by","2"
"City of London Police","fLrvQqOIz9do","Falls within","2"
"No location","ToR5xtQyHv2n","Location","2"
"City of London Police","fLrvQqOIz9do","Reported by","3"
"City of London Police","fLrvQqOIz9do","Falls within","3"
"On or near A1210","ntecXRXjZ2gr","Location","3"
"City of London Police","fLrvQqOIz9do","Reported by","4"
"City of London Police","fLrvQqOIz9do","Falls within","4"
"No location","ToR5xtQyHv2n","Location","4"
"City of London Police","fLrvQqOIz9do","Reported by","5"
"City of London Police","fLrvQqOIz9do","Falls within","5"
"On or near Took's Court","S4FOX/WK4qxx","Location","5"
"City of London Police","fLrvQqOIz9do","Reported by","6"
"City of London Police","fLrvQqOIz9do","Falls within","6"
"On or near Talbot Court","l9RL4ah6siaK","Location","6"
"City of London Police","fLrvQqOIz9do","Reported by","7"
"City of London Police","fLrvQqOIz9do","Falls within","7"
"On or near B521","kyxhfu+NW8XL","Location","7"
"City of London Police","fLrvQqOIz9do","Reported by","8"
"City of London Police","fLrvQqOIz9do","Falls within","8"
"No location","ToR5xtQyHv2n","Location","8"
"City of London Police","fLrvQqOIz9do","Reported by","9"
"City of London Police","fLrvQqOIz9do","Falls within","9"
"On or near Amen Court","xiJytzLUzDN4","Location","9"
"City of London Police","fLrvQqOIz9do","Reported by","10"
"City of London Police","fLrvQqOIz9do","Falls within","10"
"On or near Grand Avenue","xZKundWZ/iHJ","Location","10"
"City of London Police","fLrvQqOIz9do","Reported by","11"
"City of London Police","fLrvQqOIz9do","Falls within","11"
"On or near Cannon Street","xXi1HTC9dEVp","Location","11"
"City of London Police","fLrvQqOIz9do","Reported by","12"
"City of London Police","fLrvQqOIz9do","Falls within","12"
"On or near Cannon Street","xXi1HTC9dEVp","Location","12"
"City of London Police","fLrvQqOIz9do","Reported by","13"
"City of London Police","fLrvQqOIz9do","Falls within","13"
"On or near Angel Lane","ol5E6DulF/gF","Location","13"
"City of London Police","fLrvQqOIz9do","Reported by","14"
"City of London Police","fLrvQqOIz9do","Falls within","14"
"On or near Angel Lane","ol5E6DulF/gF","Location","14"
"City of London Police","fLrvQqOIz9do","Reported by","15"
"City of London Police","fLrvQqOIz9do","Falls within","15"
"No location","ToR5xtQyHv2n","Location","15"
"City of London Police","fLrvQqOIz9do","Reported by","16"
"City of London Police","fLrvQqOIz9do","Falls within","16"
"On or near Cannon Street","xXi1HTC9dEVp","Location","16"
"City of London Police","fLrvQqOIz9do","Reported by","17"
"City of London Police","fLrvQqOIz9do","Falls within","17"
"On or near Bury Street","xqHdxewuYVIj","Location","17"
"City of London Police","fLrvQqOIz9do","Reported by","18"
"City of London Police","fLrvQqOIz9do","Falls within","18"
"On or near Creechurch Lane","Q6Ae0GmEoc0v","Location","18"
"City of London Police","fLrvQqOIz9do","Reported by","19"
"City of London Police","fLrvQqOIz9do","Falls within","19"
"On or near New London Street","kIwi4X783cZ8","Location","19"
"City of London Police","fLrvQqOIz9do","Reported by","20"
"City of London Police","fLrvQqOIz9do","Falls within","20"
"No location","ToR5xtQyHv2n","Location","20"
"City of London Police","fLrvQqOIz9do","Reported by","21"
"City of London Police","fLrvQqOIz9do","Falls within","21"
"On or near Cloth Fair","y2jTDZgNMUj/","Location","21"
"City of London Police","fLrvQqOIz9do","Reported by","22"
"City of London Police","fLrvQqOIz9do","Falls within","22"
"On or near Cobb Street","aa0zK10Edvtn","Location","22"
"City of London Police","fLrvQqOIz9do","Reported by","23"
"City of London Police","fLrvQqOIz9do","Falls within","23"
"On or near Primrose Street","HjQFdtbrLWJJ","Location","23"
"City of London Police","fLrvQqOIz9do","Reported by","24"
"City of London Police","fLrvQqOIz9do","Falls within","24"
"On or near Corbet Court","2eP832Hq9waE","Location","24"
"City of London Police","fLrvQqOIz9do","Reported by","25"
"City of London Police","fLrvQqOIz9do","Falls within","25"
"On or near Creechurch Lane","Q6Ae0GmEoc0v","Location","25"
"City of London Police","fLrvQqOIz9do","Reported by","26"
"City of London Police","fLrvQqOIz9do","Falls within","26"
"On or near Cannon Street","xXi1HTC9dEVp","Location","26"
"City of London Police","fLrvQqOIz9do","Reported by","27"
"City of London Police","fLrvQqOIz9do","Falls within","27"
"On or near Bell Inn Yard","OfbZxRdt/52K","Location","27"
"City of London Police","fLrvQqOIz9do","Reported by","28"
"City of London Police","fLrvQqOIz9do","Falls within","28"
"On or near Kingscote Street","CxC6tFREXULb","Location","28"
"City of London Police","fLrvQqOIz9do","Reported by","29"
"City of London Police","fLrvQqOIz9do","Falls within","29"
"On or near Corbet Court","2eP832Hq9waE","Location","29"
"City of London Police","fLrvQqOIz9do","Reported by","30"
"City of London Police","fLrvQqOIz9do","Falls within","30"
"On or near Pancras Lane","F/D8DV6eOs8r","Location","30"
"City of London Police","fLrvQqOIz9do","Reported by","31"
"City of London Police","fLrvQqOIz9do","Falls within","31"
"On or near Chandos Road","AsG8bbRft8RB","Location","31"
"City of London Police","fLrvQqOIz9do","Reported by","32"
"City of London Police","fLrvQqOIz9do","Falls within","32"
"On or near Queen Street","V/FWZ3wf/u33","Location","32"
"City of London Police","fLrvQqOIz9do","Reported by","33"
"City of London Police","fLrvQqOIz9do","Falls within","33"
"On or near Gracechurch Street","8wnWaGjoIcFf","Location","33"
"City of London Police","fLrvQqOIz9do","Reported by","34"
"City of London Police","fLrvQqOIz9do","Falls within","34"
"On or near Carthusian Street","G+rOE95B/ZLV","Location","34"
"City of London Police","fLrvQqOIz9do","Reported by","35"
"City of London Police","fLrvQqOIz9do","Falls within","35"
