"Original","Masked","Field","RowIndex"
"City of London Police","fLrvQqOIz9do","Reported by","0"
"City of London Police","fLrvQqOIz9do","Falls within","0"
"On or near Rose Joan Mews","hKtU4tLaqA3U","Location","0"
"City of London Police","fLrvQqOIz9do","Reported by","1"
"City of London Police","fLrvQqOIz9do","Falls within","1"
"On or near White Bear Yd","lSvH1z4AK5l+","Location","1"
"City of London Police","fLrvQqOIz9do","Reported by","2"
"City of London Police","fLrvQqOIz9do","Falls within","2"
"On or near B521","kyxhfu+NW8XL","Location","2"
"City of London Police","fLrvQqOIz9do","Reported by","3"
"City of London Police","fLrvQqOIz9do","Falls within","3"
"On or near B521","kyxhfu+NW8XL","Location","3"
"City of London Police","fLrvQqOIz9do","Reported by","4"
"City of London Police","fLrvQqOIz9do","Falls within","4"
"On or near King'S Cross Bridge","JO8f9pKqPnGW","Location","4"
"City of London Police","fLrvQqOIz9do","Reported by","5"
"City of London Police","fLrvQqOIz9do","Falls within","5"
"On or near A1","3INfdYvq2nmX","Location","5"
"City of London Police","fLrvQqOIz9do","Reported by","6"
"City of London Police","fLrvQqOIz9do","Falls within","6"
"On or near Foster Lane","g4q7Qt4qyTBH","Location","6"
"City of London Police","fLrvQqOIz9do","Reported by","7"
"City of London Police","fLrvQqOIz9do","Falls within","7"
"On or near Aldersgate Street","lEhCXrFZtfEr","Location","7"
"City of London Police","fLrvQqOIz9do","Reported by","8"
"City of London Police","fLrvQqOIz9do","Falls within","8"
"On or near St Paul'S","FM7E3+uyl9SW","Location","8"
"City of London Police","fLrvQqOIz9do","Reported by","9"
"City of London Police","fLrvQqOIz9do","Falls within","9"
"On or near St Martin'S Le Grand","cZf5K1VNuEeX","Location","9"
"City of London Police","fLrvQqOIz9do","Reported by","10"
"City of London Police","fLrvQqOIz9do","Falls within","10"
"On or near Parking Area","fYKCWrLNHNL/","Location","10"
"City of London Police","fLrvQqOIz9do","Reported by","11"
"City of London Police","fLrvQqOIz9do","Falls within","11"
"On or near A1","3INfdYvq2nmX","Location","11"
"City of London Police","fLrvQqOIz9do","Reported by","12"
"City of London Police","fLrvQqOIz9do","Falls within","12"
"On or near Little Britain","tKTxQW6cnYQT","Location","12"
"City of London Police","fLrvQqOIz9do","Reported by","13"
"City of London Police","fLrvQqOIz9do","Falls within","13"
"On or near Aldersgate Street","lEhCXrFZtfEr","Location","13"
"City of London Police","fLrvQqOIz9do","Reported by","14"
"City of London Police","fLrvQqOIz9do","Falls within","14"
"On or near Aldersgate Street","lEhCXrFZtfEr","Location","14"
"City of London Police","fLrvQqOIz9do","Reported by","15"
"City of London Police","fLrvQqOIz9do","Falls within","15"
"On or near St Paul'S","FM7E3+uyl9SW","Location","15"
"City of London Police","fLrvQqOIz9do","Reported by","16"
"City of London Police","fLrvQqOIz9do","Falls within","16"
"On or near A1","3INfdYvq2nmX","Location","16"
"City of London Police","fLrvQqOIz9do","Reported by","17"
"City of London Police","fLrvQqOIz9do","Falls within","17"
"On or near A1","3INfdYvq2nmX","Location","17"
"City of London Police","fLrvQqOIz9do","Reported by","18"
"City of London Police","fLrvQqOIz9do","Falls within","18"
"On or near Theatre/Concert Hall","Tn3IHHKLBPz0","Location","18"
"City of London Police","fLrvQqOIz9do","Reported by","19"
"City of London Police","fLrvQqOIz9do","Falls within","19"
"On or near Silk Street","uDDIdyXfh6MM","Location","19"
"City of London Police","fLrvQqOIz9do","Reported by","20"
"City of London Police","fLrvQqOIz9do","Falls within","20"
"On or near Parking Area","fYKCWrLNHNL/","Location","20"
"City of London Police","fLrvQqOIz9do","Reported by","21"
"City of London Police","fLrvQqOIz9do","Falls within","21"
"On or near Noble Street","feBrczbAlNwy","Location","21"
"City of London Police","fLrvQqOIz9do","Reported by","22"
"City of London Police","fLrvQqOIz9do","Falls within","22"
"On or near Monkwell Square","gw3N4hl9Qf3X","Location","22"
"City of London Police","fLrvQqOIz9do","Reported by","23"
"City of London Police","fLrvQqOIz9do","Falls within","23"
"On or near St Alphage Garden","u5ZyMKYx4z+C","Location","23"
"City of London Police","fLrvQqOIz9do","Reported by","24"
"City of London Police","fLrvQqOIz9do","Falls within","24"
"On or near St Alphage Garden","u5ZyMKYx4z+C","Location","24"
"City of London Police","fLrvQqOIz9do","Reported by","25"
"City of London Police","fLrvQqOIz9do","Falls within","25"
"On or near St Alphage Garden","u5ZyMKYx4z+C","Location","25"
"City of London Police","fLrvQqOIz9do","Reported by","26"
"City of London Police","fLrvQqOIz9do","Falls within","26"
"On or near St Alphage Garden","u5ZyMKYx4z+C","Location","26"
"City of London Police","fLrvQqOIz9do","Reported by","27"
"City of London Police","fLrvQqOIz9do","Falls within","27"
"On or near Aldermanbury","QIVT7EZlrfrX","Location","27"
"City of London Police","fLrvQqOIz9do","Reported by","28"
"City of London Police","fLrvQqOIz9do","Falls within","28"
"On or near Moor Lane","+njjHy9WmmYk","Location","28"
"City of London Police","fLrvQqOIz9do","Reported by","29"
"City of London Police","fLrvQqOIz9do","Falls within","29"
"On or near St Alphage Garden","u5ZyMKYx4z+C","Location","29"
"City of London Police","fLrvQqOIz9do","Reported by","30"
"City of London Police","fLrvQqOIz9do","Falls within","30"
"On or near Aldermanbury","QIVT7EZlrfrX","Location","30"
"City of London Police","fLrvQqOIz9do","Reported by","31"
"City of London Police","fLrvQqOIz9do","Falls within","31"
"On or near St Alphage Garden","u5ZyMKYx4z+C","Location","31"
"City of London Police","fLrvQqOIz9do","Reported by","32"
"City of London Police","fLrvQqOIz9do","Falls within","32"
"On or near St Alphage Garden","u5ZyMKYx4z+C","Location","32"
"City of London Police","fLrvQqOIz9do","Reported by","33"
"City of London Police","fLrvQqOIz9do","Falls within","33"
"On or near St Alphage Garden","u5ZyMKYx4z+C","Location","33"
"City of London Police","fLrvQqOIz9do","Reported by","34"
"City of London Police","fLrvQqOIz9do","Falls within","34"
"On or near St Alphage Garden","u5ZyMKYx4z+C","Location","34"
