"Original","Masked","Field","RowIndex"
"James","xRZvpeBUoh6l","firstName",
"Anderson","NhJItr0Yjzfc","lastName",
"james.anderson@example.com","xxvcXmQPcvRy","email",
"555-0101","/mvTK7N7HNW4","phone",
"123 Silicon Valley Drive","WWR7ZQd5r2WN","company.headquarters.street",
"San Francisco","M5+piJxSQKVW","company.headquarters.city",
"456 Oak Street","Ejs4lvrPl50R","addresses.street",
"San Francisco","M5+piJxSQKVW","addresses.city",
"789 Market Street","l1QrvQUUX+M2","addresses.street",
"San Francisco","M5+piJxSQKVW","addresses.city",
"Sarah Anderson","EThwxFQcMhlH","contacts.name",
"555-0102","OJlWhHA3o4pX","contacts.phone",
"sarah.anderson@example.com","4jxzNFJKOnyb","contacts.email",
"Michael Anderson","Yokjvx4YkZdM","contacts.name",
"555-0103","clKRiPbV0zSf","contacts.phone",
"4532015112830366","bPVPpKRHBTKd","paymentMethods.cardNumber",
"JAMES ANDERSON","GtIztELa+rmU","paymentMethods.cardholderName",
"456 Oak Street, San Francisco, CA 94102","/bLQju2d2CD4","paymentMethods.billingAddress",
"Maria","TLmFhssDR/J9","firstName",
"Garcia","JageYNNV8dov","lastName",
"maria.garcia@example.com","2iRy7MEKSmVw","email",
"555-0201","KTjuYtNRBwKa","phone",
"321 Wall Street","peyQQ4LutKzF","company.headquarters.street",
"New York","+u4rP7Gs1avD","company.headquarters.city",
"101 Broadway","MBg8bKzlABNq","addresses.street",
"New York","+u4rP7Gs1avD","addresses.city",
"Carlos Garcia","0GYSKjVARWr+","contacts.name",
"555-0204","8nOZZXKMjWet","contacts.phone",
"carlos.garcia@example.com","CgmJ7/srHR4V","contacts.email",
"5425233010103442","1n7YJwjzoOZM","paymentMethods.cardNumber",
"MARIA GARCIA","2UFCrTGD4nET","paymentMethods.cardholderName",
"Robert","HVMm9IThnL6o","firstName",
"Chen","p6UwM02ghMLj","lastName",
"robert.chen@example.com","AhBd8GabPgd4","email",
"555-0301","WXmRHUvfPFUB","phone",
"555 Research Parkway","iqVAPeVUOTDK","company.headquarters.street",
"Boston","il3Tqq7K2hIv","company.headquarters.city",
"222 Commonwealth Avenue","BN6em36EhgrO","addresses.street",
"Boston","il3Tqq7K2hIv","addresses.city",
"555 Research Parkway","iqVAPeVUOTDK","addresses.street",
"Boston","il3Tqq7K2hIv","addresses.city",
"378282246310005","A0fER2ZnHl/3","paymentMethods.cardNumber",
"ROBERT CHEN","1NWgtwfPacHn","paymentMethods.cardholderName",
"Robert Chen","5vh7EH6RYChC","paymentMethods.accountHolderName",
